cve_id,cvss,access_vector,access_complexity,impact_confidentiality,impact_integrity,impact_availability,cwe_name
CVE-2019-3462,9.3,NETWORK,MEDIUM,COMPLETE,COMPLETE,COMPLETE, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2019-12918,7.5,,,,,, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2016-4401,10.0,,,,,, Insufficiently Protected Credentials
CVE-2015-8980,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Improper Input Validation
CVE-2013-2075,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2019-8158,7.5,,,,,, XML Injection (aka Blind XPath Injection)
CVE-2007-0899,7.5,,,,,, Out-of-bounds Write
CVE-2019-0205,7.8,NETWORK,LOW,NONE,NONE,COMPLETE, Loop with Unreachable Exit Condition ('Infinite Loop')
CVE-2006-0061,7.5,,,,,, Missing Authentication for Critical Function
CVE-2018-18751,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Double Free
CVE-2019-8159,9.0,,,,,, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2019-8149,7.5,,,,,, Session Fixation
CVE-2019-8144,7.5,,,,,, Improper Input Validation
CVE-2019-8135,7.5,,,,,, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2018-4002,7.8,NETWORK,LOW,NONE,NONE,COMPLETE, Uncontrolled Recursion
CVE-2011-1460,7.5,,,,,, Incorrect Type Conversion or Cast
CVE-2018-4031,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Improper Control of Generation of Code ('Code Injection')
CVE-2019-13547,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Missing Authorization
CVE-2019-13551,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2019-5043,7.8,NETWORK,LOW,NONE,NONE,COMPLETE, Uncontrolled Resource Consumption
